current_file,current_types,current_loc,code_reference_count_estimate,serialized_reference_count,final_action,target_owner_or_path,migration_phase,deletion_or_completion_gate,required_test_evidence,notes
Assets/Map/CameraManager.cs,CameraManager | NavigationCursorController,2996,131,1,SPLIT_THEN_DELETE,Assets/_Chateau/Runtime/Game/World/Presentation/Camera/CameraService.cs + CursorPresenter.cs,P6,All camera callers and serialized refs migrated; serialized camera rig passes visual parity; cursor/input path owned by InputRouter,"room framing, zoom, pan/shake, cursor modal tests",Preserve CameraManager as a facade until every caller migrates; Slice 1.2 gives the facade the typed camera composition role at order 300.
Assets/Scripts/Audio/Chapter2PanicScreamCatalog.cs,Chapter2PanicScreamCatalog,46,5,1,CONVERT_DATA_THEN_DELETE,Assets/_Chateau/Data/Story/Chapter02/PanicAudioDefinition.asset,P6,All catalog entries migrated to stable actor/clip IDs and zero refs remain,Chapter 2 panic audio mapping,Data only; no runtime behavior.
Assets/Scripts/Audio/ClockTickingAmbienceCatalog.cs,ClockTickingAmbienceCatalog,256,7,1,MERGE_DATA_THEN_DELETE,Assets/_Chateau/Data/Game/Audio/RoomAmbienceCatalog.asset,P6,Merged ambience data validated and all old refs zero,room ambience by room ID,Merge with fireplace ambience rather than retain parallel catalogs.
Assets/Scripts/Audio/ClockTickingAmbienceController.cs,ClockTickingAmbienceController,223,10,1,MERGE_THEN_DELETE,Assets/_Chateau/Runtime/Game/World/Presentation/Audio/RoomAmbienceService.cs,P6,AudioService/RoomAmbienceService reproduces clock ambience and old component refs are zero,room-enter/exit ambience PlayMode,One room ambience owner.
Assets/Scripts/Audio/DialogueSpeechService.cs,DialogueSpeechService,408,32,1,REFACTOR_IN_PLACE_THEN_MOVE,Assets/_Chateau/Runtime/Story/Presentation/Dialogue/DialogueService.cs,P6,"Dialogue queue, voice lease, and actor emitter callers migrated; facade no longer needed","dialogue queue, interruption, input lease, voice/subtitle sync",Preserve GUID early; may rename only after serialized migration; Slice 1.2 gives the facade the typed dialogue composition role at order 700.
Assets/Scripts/Audio/DoorOpenSoundCatalog.cs,DoorOpenSoundCatalog,49,8,2,MERGE_DATA_THEN_DELETE,PassageDefinition / DoorAudioProfile,P6,Each passage references canonical door audio data; zero old refs,all passage door audio smoke,Door audio belongs to physical passage data.
Assets/Scripts/Audio/FireplaceAmbienceCatalog.cs,FireplaceAmbienceCatalog,161,4,1,MERGE_DATA_THEN_DELETE,Assets/_Chateau/Data/Game/Audio/RoomAmbienceCatalog.asset,P6,Merged ambience data validated and zero old refs,fireplace room ambience,No separate catalog per ambience source.
Assets/Scripts/Audio/FireplaceAmbienceController.cs,FireplaceAmbienceController,221,9,1,MERGE_THEN_DELETE,RoomAmbienceService or narrow AmbientEmitter,P6,Room ambience is service-owned and component refs zero,fireplace enter/exit and volume,Keep a narrow emitter only if spatial source behavior requires it.
Assets/Scripts/Audio/GameAudioChannel.cs,GameAudioChannel,7,0,0,KEEP_MOVE,Assets/_Chateau/Runtime/Game/World/Presentation/Audio/AudioChannel.cs,P6,N/A,audio channel mapping,Small enum/value type.
Assets/Scripts/Audio/GameAudioSettings.cs,GameAudioSettings,203,60,0,REPLACE_THEN_DELETE,AudioSettingsState owned by AudioService,P6,No static mutable audio state remains; settings persistence tested,settings volume round trip,Remove global static state.
