current_file,current_types,baseline_loc,code_reference_count,serialized_reference_count,action,target_owner_or_family,migration_phase,notes
Assets/_Chateau/Runtime/World/Rooms/Props/SetPieces/RoomDepthResolver.cs,RoomDepthResolver,21,1,0,New target architecture,World / Rooms / Props / Set Pieces,4,Pure room-local Y-to-sorting resolver; no Unity object ownership or bounds dependency.
Assets/_Chateau/Runtime/World/Rooms/Props/SetPieces/SetPieceView.cs,SetPieceView,86,1,9,New target architecture,World / Rooms / Props / Set Pieces,4,Owns three Drawing Room set pieces in Gameplay and both prefab variants; static room-local sort only.
Assets/_Chateau/Runtime/World/Rooms/RoomDefinition.cs,RoomDefinition,118,1,3,New target architecture,World / House / Room Definitions,4,GEH/Drawing and Drawing/Music are fully template-certified; Music/Library is characterized and Library is the next data-only definition; 16 room definitions remain pending.
Assets/_Chateau/Runtime/World/Rooms/RoomView.cs,RoomView,46,1,3,New passive target contract,World / House / Room Instances,4,Music root now owns registered RoomView 4100000003 with valid GameContext and passive activeSelf visibility; activation and camera ownership remain legacy.
Assets/_Chateau/Runtime/World/Rooms/Passages/PassageKind.cs,PassageKind,8,2,0,New target architecture,World / House / Passages,4,Music/Library is characterized as the existing standard Door profile and is next for reciprocal Door/Open Door data; four inferred-stairway triggers and one asymmetric reverse profile still require characterization.
Assets/_Chateau/Runtime/World/Rooms/Passages/PassageDefinition.cs,PassageDefinition,88,1,4,New target architecture,World / House / Passages,4,Music/Library is the one characterized data-next pair; 17 reciprocal pairs remain queued and five exceptional triggers remain blocked.
Assets/_Chateau/Runtime/World/Rooms/Passages/PassageAnchorData.cs,PassageAnchorData,13,2,0,New target architecture,World / House / Passages,4,Calibrated reciprocal anchors are authoritative for both fully template-certified pairs; Drawing/Music approach and arrival values are both authoritative at AuthoredAnchors stage2.
Assets/_Chateau/Runtime/World/Rooms/Passages/Passage.cs,PassageAnchorMigrationStage | Passage,85,2,4,Temporary rollout seam,World / House / Room Instances / Passages,4,Single monotonic 0/1/2 stage prevents premature anchor consumption per pair; all four current YAML scalars are stage2 across two complete reciprocal pairs; remove the enum field branches and scalars only after every Passage in the full migration is complete.
Assets/_Chateau/Runtime/World/Navigation/INavigationService.cs,INavigationService,12,1,0,New target contract,Game / World / NavigationService,4,Sole implementation; Drawing/Music callers traverse canonical identity with exact authored approach and arrival at AuthoredAnchors stage2; caller dependency topology and runtime ownership remain unchanged.
Assets/Scripts/PickupObject.cs,PickupObject,43,1,0,Pruned,InteractionTargetBase,1,Unused generic pickup cursor component; zero runtime and serialized references.
Assets/Scripts/NewBehaviourScript.cs,NewBehaviourScript,18,0,0,Pruned,None,1,Empty starter class; zero code and serialized references.
Assets/Scripts/Story/ChapterClock.cs,ChapterClock,110,39,1,Compatibility service,ClockService,2,Now derives GameServiceBase; retain behavior while scheduler/time are consolidated.
Assets/Scripts/Story/ChapterEventScheduler.cs,ChapterEventScheduler,166,7,1,Compatibility service,ClockService scheduler,2,Now derives GameServiceBase; global clock fallback removed.
Assets/Scripts/Navigation/RoomNavigationBootstrap.cs,RoomNavigationBootstrap,69,1,0,Pruned,GameRoot startup validation,3,Deleted after the serialized root passed exact-one lifecycle and navigation round-trip gates; GUID had zero serialized references.
Assets/Scripts/Navigation/RoomNavigationManager.cs,RoomNavigationManager | RoomChangedEvent,1441,73,0,Split behind facade,NavigationService + RoomViewService,4,Sole state/event owner; canonical exact placement synchronizes destination-room collider transforms before querying the floor; stage0 retains legacy placement and the temporary stage branch is deleted after rollout.
Assets/Scripts/Navigation/DoorTriggerNavigation.cs,DoorTriggerNavigation,1471,75,58,Split behind facade,Passage + PassageInteraction,4,Music/Library legacy owners are fully characterized with null serialized dependencies/callers and runtime-resolved manager/player/audio/catalog; data-only Library plus reciprocal PassageDefinitions is next.
Assets/Scripts/Navigation/DoorDataParser.cs,RoomDefinition | DoorRoute | DoorDataParseResult | DoorDataParser,173,43,0,Move to Editor or delete,Passage migration importer,4,Runtime text route graph must be retired.
Assets/Scripts/Navigation/DoorCameraSequence.cs,DoorCameraSequence,92,10,1,Convert then retire,PassageDefinition,4,Parallel route data.
